0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.999955917450443286e-07,1.666664855273153369e-09,0.000000000000000000e+00,9.999515004263798801e+00,9.999838533621605019e-02,0.000000000000000000e+00
1.999929468245933334e-06,1.333302201759877351e-08,0.000000000000000000e+00,9.998060068220487651e+00,1.999870829692200203e-01,0.000000000000000000e+00
4.499642941861739026e-06,4.499753307985005106e-08,0.000000000000000000e+00,9.995635345357687385e+00,2.999564063828964455e-01,0.000000000000000000e+00
7.998871560652438925e-06,1.066561984707971273e-07,0.000000000000000000e+00,9.992241091461716351e+00,3.998966714350702389e-01,0.000000000000000000e+00
1.249724514956258886e-05,2.083013275267602097e-07,0.000000000000000000e+00,9.987877664578006076e+00,4.997981975438514635e-01,0.000000000000000000e+00
1.799428786806124415e-05,3.599203093474077232e-07,0.000000000000000000e+00,9.982545524955714455e+00,5.996513088732297048e-01,0.000000000000000000e+00
2.448941828422092519e-05,5.714943846965808495e-07,0.000000000000000000e+00,9.976245234976536480e+00,6.994463355176687713e-01,0.000000000000000000e+00
3.198194946521353417e-05,8.529974192085958222e-07,0.000000000000000000e+00,9.968977459067742686e+00,7.991736146854521161e-01,0.000000000000000000e+00
4.047108908419619583e-05,1.214394678159942624e-06,0.000000000000000000e+00,9.960742963599457767e+00,8.988234918805305673e-01,0.000000000000000000e+00
4.995593954355519845e-05,1.665641603065653546e-06,0.000000000000000000e+00,9.951542616766230864e+00,9.983863220826243445e-01,0.000000000000000000e+00
6.043549811447126698e-05,2.216682590358871388e-06,0.000000000000000000e+00,9.941377388452909969e+00,1.097852470925331669e+00,0.000000000000000000e+00
7.190865709276464336e-05,2.877449772411291136e-06,0.000000000000000000e+00,9.930248350084873721e+00,1.197212315871997168e+00,0.000000000000000000e+00
8.437420397097356354e-05,3.657861801151194092e-06,0.000000000000000000e+00,9.918156674462663247e+00,1.296456247389095706e+00,0.000000000000000000e+00
9.783082162661500066e-05,4.567822634534729638e-06,0.000000000000000000e+00,9.905103635581058441e+00,1.395574670116885407e+00,0.000000000000000000e+00
1.122770885265717163e-04,5.617220326124937804e-06,0.000000000000000000e+00,9.891090608432657305e+00,1.494558004037086940e+00,0.000000000000000000e+00
1.277114789475450058e-04,6.815925818031732069e-06,0.000000000000000000e+00,9.876119068796013423e+00,1.593396685637347598e+00,0.000000000000000000e+00
1.441323632125076997e-04,8.173791737464703854e-06,0.000000000000000000e+00,9.860190593008386628e+00,1.692081169072247038e+00,0.000000000000000000e+00
1.615380079430874828e-04,9.700651197149123573e-06,0.000000000000000000e+00,9.843306857723190362e+00,1.790601927320607301e+00,0.000000000000000000e+00
1.799265763278058033e-04,1.140631659985396435e-05,0.000000000000000000e+00,9.825469639652192555e+00,1.888949453338867768e+00,0.000000000000000000e+00
1.992961284060932507e-04,1.330057844727908934e-05,0.000000000000000000e+00,9.806680815292551756e+00,1.987114261210288557e+00,0.000000000000000000e+00
2.196446213679974333e-04,1.539320415354696940e-05,0.000000000000000000e+00,9.786942360638761329e+00,2.085086887289747004e+00,0.000000000000000000e+00
2.409699098694952882e-04,1.769393686354247855e-05,0.000000000000000000e+00,9.766256350879602977e+00,2.182857891343896295e+00,0.000000000000000000e+00
2.632697463633168564e-04,2.021249427634229365e-05,0.000000000000000000e+00,9.744624960080173537e+00,2.280417857686451111e+00,0.000000000000000000e+00
2.865417814451835929e-04,2.295856747397342375e-05,0.000000000000000000e+00,9.722050460849102294e+00,2.377757396308375348e+00,0.000000000000000000e+00
3.107835642153595145e-04,2.594181975573823680e-05,0.000000000000000000e+00,9.698535223991029852e+00,2.474867144002741437e+00,0.000000000000000000e+00
3.359925426554096666e-04,2.917188547834108429e-05,0.000000000000000000e+00,9.674081718144476483e+00,2.571737765484035876e+00,0.000000000000000000e+00
